type,var,Means Treated,Means Control,Std. Mean Diff.,Var. Ratio,eCDF Mean,eCDF Max,Std. Pair Dist.
original,distance,0.798559536110816,0.647487205356814,0.761512628314649,0.46797191371214,0.243234126984128,0.389523809523811,NA
original,Age,82.8222222222222,83.6428571428571,-0.242516538429207,0.752041708103549,0.0549417989417988,0.147936507936508,NA
original,Educationlower,0.142222222222222,0.514285714285714,-0.744430895507483,NA,0.372063492063492,0.372063492063492,NA
original,Educationhigher,0.857777777777778,0.485714285714286,0.744430895507483,NA,0.372063492063492,0.372063492063492,NA
original,SA0,0.528888888888889,0.671428571428571,-0.3034736444866,NA,0.142539682539683,0.142539682539683,NA
original,SA1,0.471111111111111,0.328571428571429,0.303473644486601,NA,0.142539682539683,0.142539682539683,NA
matched,distance,0.648412258338209,0.647487205356814,0.00466292883466576,0.982668161572907,0.00563675761373148,0.0285714285714289,0.00861650889197938
matched,Age,83.2821410344041,83.6428571428571,-0.106599926201039,0.8480362352364,0.0243652008809897,0.0640676691729316,0.180805244354465
matched,Educationlower,0.514285714285714,0.514285714285714,-4.44089209850063e-16,NA,4.44089209850063e-16,4.44089209850063e-16,0
matched,Educationhigher,0.485714285714285,0.485714285714286,-5.55111512312578e-16,NA,5.55111512312578e-16,5.55111512312578e-16,0
matched,SA0,0.715149920255183,0.671428571428571,0.0930847945910628,NA,0.0437213488266112,0.0437213488266112,0.161699751368632
matched,SA1,0.284850079744816,0.328571428571429,-0.0930847945910653,NA,0.0437213488266123,0.0437213488266123,0.161699751368632
