type,var,Means Treated,Means Control,Std. Mean Diff.,Var. Ratio,eCDF Mean,eCDF Max,Std. Pair Dist.
original,distance,0.796228153522793,0.654980935105321,0.739094404513684,0.483551198257079,0.186031746031747,0.372063492063492,NA
original,Educationlower,0.142222222222222,0.514285714285714,-0.744430895507483,NA,0.372063492063492,0.372063492063492,NA
original,Educationhigher,0.857777777777778,0.485714285714286,0.744430895507483,NA,0.372063492063492,0.372063492063492,NA
matched,distance,0.654980935105319,0.654980935105321,-2.33146835171283e-15,1.00395058713181,2.63331023653279e-15,3.4104663537704e-15,0
matched,Educationlower,0.514285714285713,0.514285714285714,-1.55431223447522e-15,NA,1.55431223447522e-15,1.55431223447522e-15,0
matched,Educationhigher,0.485714285714284,0.485714285714286,-1.55431223447522e-15,NA,1.55431223447522e-15,1.55431223447522e-15,0
